date,symbol,action,price,pnl_pct,commission,reason
2019-07-31,TSLA,BUY,16.12021809539795,,0.004030054523849487,
2019-08-14,TSLA,EXIT,14.629619560241698,-9.17410335457789,,STOP LOSS (-9.2%)
2019-11-26,TSLA,BUY,21.945541896057126,,0.005486385474014282,
2019-12-16,TSLA,EXIT,25.412985777282714,15.892934262912037,,TAKE PROFIT (15.9%)
2021-03-04,TSLA,SELL,206.98095014648436,,0.051745237536621094,
2021-03-09,TSLA,EXIT,224.70629370117186,-8.476974428989454,,STOP LOSS (-8.5%)
2021-05-19,TSLA,SELL,187.66975131835937,,0.04691743782958985,
2021-05-26,TSLA,EXIT,206.5417645385742,-9.967995246028963,,STOP LOSS (-10.0%)
2021-11-15,TSLA,BUY,338.06689870605464,,0.08451672467651367,
2021-12-16,TSLA,EXIT,308.7261489746094,-8.605862088447893,,STOP LOSS (-8.6%)
2022-05-11,TSLA,SELL,244.47093841552734,,0.06111773460388184,
2022-07-21,TSLA,EXIT,271.92403037109375,-11.140680687878975,,STOP LOSS (-11.1%)
2023-03-22,TSLA,BUY,191.30291389160155,,0.04782572847290039,
2023-04-20,TSLA,EXIT,162.85961348876953,-14.800040324780678,,STOP LOSS (-14.8%)
2023-07-24,TSLA,BUY,269.2752455566406,,0.06731881138916014,
2023-08-09,TSLA,EXIT,241.99625043945312,-10.058571503386524,,STOP LOSS (-10.1%)
2023-08-17,TSLA,SELL,219.04462521972656,,0.05476115630493164,
2023-08-23,TSLA,EXIT,237.04948861083983,-8.13321731713534,,STOP LOSS (-8.1%)
2023-10-24,TSLA,SELL,216.34678826904297,,0.05408669706726074,
2023-11-14,TSLA,EXIT,237.59993166503904,-9.735857676275165,,STOP LOSS (-9.7%)
2024-01-24,TSLA,SELL,207.66373782958985,,0.051915934457397464,
2024-03-08,TSLA,EXIT,175.48026833496093,15.565424098368242,,TAKE PROFIT (15.6%)
2024-08-22,TSLA,SELL,210.49147565917968,,0.052622868914794924,
2024-09-05,TSLA,EXIT,230.35413416748045,-9.348845338339682,,STOP LOSS (-9.3%)
2024-10-10,TSLA,BUY,238.9610202758789,,0.059740255068969725,
2024-10-11,TSLA,EXIT,217.6257630493164,-8.855426378616407,,STOP LOSS (-8.9%)
2025-01-03,TSLA,BUY,410.7683544433593,,0.10269208861083984,
2025-02-06,TSLA,EXIT,374.02055131835937,-8.873212048803634,,STOP LOSS (-8.9%)
2025-06-10,TSLA,BUY,326.3508683349609,,0.08158771708374023,
2025-07-07,TSLA,EXIT,293.70485043945314,-9.931294517129556,,STOP LOSS (-9.9%)
2025-10-17,TSLA,BUY,439.66144555664056,,0.10991536138916014,
2025-11-13,TSLA,EXIT,401.6683982421875,-8.568287190743094,,STOP LOSS (-8.6%)
2026-01-30,TSLA,SELL,430.0656756591797,,0.10751641891479492,
2026-03-27,TSLA,EXIT,362.1194505615234,15.866341572674076,,TAKE PROFIT (15.9%)
